Published Date,Project Type,Project Type Name,Budget Line,Budget Line Title,Funding Type,First Fiscal Year,Fiscal Year 1 Amount,Fiscal Year 2 Amount,Fiscal Year 3 Amount,Fiscal Year 4 Amount
20180201,C,CORRECTION,C  0136,CORRECTION INDUSTRIES FACILITIES AND SUPPORT,C,2019,"449,000",0,0,0
20180201,CO,COURTS,CO 0080,27 MADISON AVE. - MANHATTAN APPELLATE DIVISION COURTHOUSE - 1ST DEPT.,C,2019,"488,500",0,0,0
20180201,CO,COURTS,CO 0081,31 CHAMBERS ST. - MANHATTAN SURROGATE'S COURT,C,2019,"16,689,624",0,0,0
20180201,CO,COURTS,CO 0264,"ACQUISITION, ADDS, CONSTRUCT, RECONSTRUCT, COURT FACILITIES, CITYWIDE",C,2019,"27,632,498","202,474,000","163,690,000","160,689,000"
20180201,CO,COURTS,CO 0276,100 RICHMOND TERR. - STATEN ISLAND FAMILY COURT,C,2019,0,"2,462,780",0,0
20180201,CO,COURTS,CO 0278,360 ADAMS ST. - BROOKLYN  SUPREME COURT,C,2019,0,"12,748,386","3,000,000",0
20180201,CO,COURTS,CO 0290,NEW BRONX CRIMINAL COURT - PHASE 1,C,2019,"50,123","140,000","705,000",0
20180201,CO,COURTS,CO 0293,851 GRAND CONCOURSE - BRONX SUPREME COURT BUILDING,C,2019,"42,289,889","11,955,000","12,000,000",0
20180201,CO,COURTS,CO 0294,215 EAST 161ST ST. - BRONX  CRIMINAL/FAMILY COURT BUILDING,C,2019,0,0,"3,183,038",0
20180201,CO,COURTS,CO 0295,1118 GRAND CONCOURSE - BRONX HOUSING COURT,C,2019,0,"6,699,000","362,000",0
20180201,CO,COURTS,CO 0296,125-01 QUEENS BLVD. - QUEENS CRIMINAL COURTS BUILDING,C,2019,0,"14,581,000",0,0
20180201,CO,COURTS,CO 0299,89-17 SUTPHIN BLVD. - QUEENS COURT FACILITY,C,2019,"6,810,778","2,034,000",0,0
20180201,CO,COURTS,CO 0300,88-11 SUTPHIN BLVD. - QUEENS SUPREME COURT BUILDING,C,2019,"9,308,894",0,0,0
20180201,CO,COURTS,CO 0301,130 STUYVESANT PL. - STATEN ISLAND JUDICIAL CENTER,C,2019,"611,418","17,436,000","2,843,000",0
20180201,CO,COURTS,CO 0302,18 RICHMOND TERR. - STATEN ISLAND COURT,C,2019,"2,420,997",0,0,0
20180201,CO,COURTS,CO 0304,60 CENTRE ST. - MANHATTAN SUPREME COURT BUILDING,C,2019,0,"9,950,738","42,827,000",0
20180201,CO,COURTS,CO 0305,"315 WEST 54TH STREET, MANHATTAN MIDTOWN COMMUNITY COURT",C,2019,"249,316",0,0,0
20180201,CO,COURTS,CO 0306,"170 EAST 121TH STREET, HARLEM COMMUNITY COURT",C,2019,0,"798,000",0,0
20180201,CS,ADMIN FOR CHILDREN'S SERVICES,CS 0002,"IMPROVEMENTS OF STRUCTURES FOR FACILITIES, ACS, CITYWIDE",C,2019,"5,936,675","1,267,000","1,267,000","1,267,000"
20180201,CS,ADMIN FOR CHILDREN'S SERVICES,CS 0003,"IMPROVEMENTS OF STRUCTURES FOR  ACS, CITYWIDE",C,2019,"5,749,693",0,0,"2,777,000"
20180201,CS,ADMIN FOR CHILDREN'S SERVICES,CS 0003,"IMPROVEMENTS OF STRUCTURES FOR  ACS, CITYWIDE",F,2019,"2,567,429",0,0,0
20180201,CS,ADMIN FOR CHILDREN'S SERVICES,CS 0003,"IMPROVEMENTS OF STRUCTURES FOR  ACS, CITYWIDE",S,2019,"6,819,673",0,0,0
20180201,CS,ADMIN FOR CHILDREN'S SERVICES,CS 0004,"EQUIPMENT FOR  ACS, CITYWIDE",C,2019,0,0,"10,633,734","3,500,000"
20180201,CS,ADMIN FOR CHILDREN'S SERVICES,CS 0005,"ACQUISITION AND CONSTRUCTION FOR YOUTH AND FAMILY JUSTICE, CITYWIDE",C,2019,0,"1,174,969","2,336,000",0
20180201,DP,DOITT DP EQUIPMENT,DP 0001,PURCHASE OF EDP EQUIPMENT FOR DoITT & DESIGN/INSTALL/IMPLEMENT CITYNET,C,2019,"11,912,718","67,923,000","63,502,000","53,183,000"
20180201,E,EDUCATION,E  2361,FIVE YEAR EDUCATIONAL FACILITIES CAPITAL PLAN,C,2019,372,0,0,0
20180201,E,EDUCATION,E  2364,E-2364 SIXTH FIVE-YEAR EDUCATIONAL FACILITIES CAPITAL PLAN,C,2019,"3,338,029,787","1,970,569,000","1,296,489,000","2,165,569,000"
20180201,E,EDUCATION,E  2364,E-2364 SIXTH FIVE-YEAR EDUCATIONAL FACILITIES CAPITAL PLAN,S,2019,"198,141,000",0,"744,080,000",0
20180201,E,EDUCATION,E  2500,"SCHOOL FACILIITIES CAPITAL, HURRICANE SANDY & NOR'EASTER",C,2019,0,0,0,0
20180201,E,EDUCATION,E  2500,"SCHOOL FACILIITIES CAPITAL, HURRICANE SANDY & NOR'EASTER",F,2019,613,0,0,0
20180201,ED,ECONOMIC DEVELOPMENT,ED 0075,"ACQUISITION, SITE DEVELOPMENT, CONSTRUCTION & RECONSTRUCTION, CITYWIDE",C,2019,"54,993,142","300,112,000","239,549,000","15,264,000"
20180201,ED,ECONOMIC DEVELOPMENT,ED 0075,"ACQUISITION, SITE DEVELOPMENT, CONSTRUCTION & RECONSTRUCTION, CITYWIDE",F,2019,"6,793,151","94,273,000","10,000,000",0
20180201,ED,ECONOMIC DEVELOPMENT,ED 0075,"ACQUISITION, SITE DEVELOPMENT, CONSTRUCTION & RECONSTRUCTION, CITYWIDE",S,2019,"431,825",0,0,0
20180201,ED,ECONOMIC DEVELOPMENT,ED 0319,BROOKLYN NAVY YARD,C,2019,0,"1,924,808","35,546,000","15,000,000"
20180201,ED,ECONOMIC DEVELOPMENT,ED 0373,BROOKLYN ARMY TERMINAL,C,2019,"38,005,121","47,010,000","22,000,000","1,809,000"
20180201,ED,ECONOMIC DEVELOPMENT,ED 0380,"INDUSTRIAL AND COMMERCIAL DEVELOPMENT, ALL BOROUGHS",C,2019,"8,782,868","6,010,000",0,0
20180201,ED,ECONOMIC DEVELOPMENT,ED 0384,"NEIGHBORHOOD REDEVELOPMENT, CITYWIDE",C,2019,"65,467,205","265,563,000","164,074,000","50,324,000"
20180201,ED,ECONOMIC DEVELOPMENT,ED 0387,"SOUTH ST, SEAPORT, SITE IMPROVEMENTS, MANHATTAN",C,2019,0,7,0,0
20180201,ED,ECONOMIC DEVELOPMENT,ED 0404,"ECONOMIC DEVELOPMENT FOR INDUSTRIAL, WATERFRONT AND COMMERCIAL PURPOSE",C,2019,"15,500,367","35,560,000","10,000,000",0
20180201,ED,ECONOMIC DEVELOPMENT,ED 0408,"MODERNIZATION, RECONSTRUCTION, MARKETS",C,2019,"540,027","1,155,000",0,"30,000,000"
20180201,ED,ECONOMIC DEVELOPMENT,ED 0409,"MODERNIZATION, RECONSTRUCTION, PIERS, CITYWIDE",C,2019,0,"45,456,434","23,636,000",0
20180201,ED,ECONOMIC DEVELOPMENT,ED 0410,INTERNATIONAL BUSINESS DEVELOPMENT,C,2019,"88,914,530","7,093,000",0,0
20180201,ED,ECONOMIC DEVELOPMENT,ED 0831,TRUST FOR GOVERNORS ISLAND,C,2019,"25,508,018","8,576,000","6,375,000","4,000,000"
20180201,ED,ECONOMIC DEVELOPMENT,ED 0831,TRUST FOR GOVERNORS ISLAND,F,2019,"3,039,000",0,0,0
20180201,ED,ECONOMIC DEVELOPMENT,ED KN676,STATE UNIVERSITY OF NEW YORK - BIOBAT,C,2019,475,0,0,0
20180201,ED,ECONOMIC DEVELOPMENT,ED KN776,PRATT INSTITUTE,C,2019,175,0,0,0
20180201,ED,ECONOMIC DEVELOPMENT,ED M075,"ACQUISTION, SITE DEVELOPMENT, CONSTRUCTION & RECONSTRUCTION, MANHATTAN",C,2019,0,300,0,0
20180201,EP,DEP EQUIPMENT,EP 0004,PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF ENVIRONMENTAL PROTECTION,C,2019,0,"6,385,556","3,260,000","4,214,000"
20180201,EP,DEP EQUIPMENT,EP 0005,PURCHASE OF ELECTRONIC DATA PROCESSING EQUIP. FOR D.E.P.,C,2019,0,"29,139,312","47,787,000","20,000,000"
20180201,EP,DEP EQUIPMENT,EP 0005,PURCHASE OF ELECTRONIC DATA PROCESSING EQUIP. FOR D.E.P.,E,2019,"1,708",0,0,0
20180201,EP,DEP EQUIPMENT,EP 0006,ACQUISITION/RECON/CON LEASED & OWNED FACILITIES BY DEP,C,2019,0,0,"19,800,516","8,300,000"
20180201,EP,DEP EQUIPMENT,EP 0006,ACQUISITION/RECON/CON LEASED & OWNED FACILITIES BY DEP,E,2019,"4,591,242",0,"38,550,000",0
20180201,EP,DEP EQUIPMENT,EP 0007,"MANDATED PAYMENTS FOR PRIVATE GAS UTILITY RELOCATION, DEP, CITYWIDE",C,2019,"249,000",0,0,0
20180201,EP,DEP EQUIPMENT,EP 0007,"MANDATED PAYMENTS FOR PRIVATE GAS UTILITY RELOCATION, DEP, CITYWIDE",E,2019,"10,758,620","19,909,000","23,000,000","12,000,000"
20180201,F,FIRE,F  0001,"FIRE ALARM COMMUNICATION SYSTEM, CITYWIDE",C,2019,"7,080,416","10,195,000","727,000","700,000"
20180201,F,FIRE,F  0001,"FIRE ALARM COMMUNICATION SYSTEM, CITYWIDE",F,2019,"10,021,954",0,0,0
20180201,F,FIRE,F  0109,"VEHICLE ACQUISITION, CITYWIDE",C,2019,"62,607,337","55,151,000","81,551,000","44,964,000"
20180201,F,FIRE,F  0175,"FACILITY IMPROVEMENTS, CITYWIDE",C,2019,"22,286,736","62,750,000","25,000,000","25,000,000"
20180201,F,FIRE,F  0204,NEW TRAINING CENTER FOR THE NEW YORK FIRE DEPARTMENT,C,2019,"2,195,260",0,0,0
20180201,F,FIRE,F  0212,MANAGEMENT INFORMATION AND CONTROL SYSTEM (MICS),C,2019,"24,399,883","13,000,000","13,050,000","13,000,000"
20180201,FA,FERRIES & AVIATION,FA 0021,"FERRY BOATS, TERMINALS, FLOATING EQUIPMENT AND RELATED ITEMS",C,2019,"14,656,763","107,131,000","10,124,000","2,256,000"
20180201,FA,FERRIES & AVIATION,FA 0021,"FERRY BOATS, TERMINALS, FLOATING EQUIPMENT AND RELATED ITEMS",F,2019,0,"28,234,472",0,"4,144,000"
20180201,FA,FERRIES & AVIATION,FA 0026,FERRY MAINTENANCE FACILITY,C,2019,0,0,"812,801",0
20180201,FA,FERRIES & AVIATION,FA 0026,FERRY MAINTENANCE FACILITY,F,2019,"1,077,000","2,880,000",0,0
20180201,FA,FERRIES & AVIATION,FA 0026,FERRY MAINTENANCE FACILITY,S,2019,0,"360,000",0,0
20180201,FA,FERRIES & AVIATION,FA 0313,"RECONSTRUCTION OF FERRY VESSELS, STATEN ISLAND TO MANHATTAN SERVICE",C,2019,0,0,0,0
20180201,FA,FERRIES & AVIATION,FA 0313,"RECONSTRUCTION OF FERRY VESSELS, STATEN ISLAND TO MANHATTAN SERVICE",S,2019,"5,777,152","8,136,000",0,0
20180201,HA,HOUSING AUTHORITY,HA 0001,HOUSING AUTHORITY CITY CAPITAL SUBSIDIES,C,2019,"243,069,484","199,965,000","126,884,000","137,500,000"
20180201,HA,HOUSING AUTHORITY,HA M001,"HOUSING AUTHORITY BOROUGH PRESIDENT CAPITAL SUBSIDIES, MANHATTAN",C,2019,"100,000",0,0,0
20180201,HA,HOUSING AUTHORITY,HA Q001,"HOUSING AUTHORITY BOROUGH PRESIDENT CAPITAL SUBSIDIES, QUEENS",C,2019,74,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 0061,LAND ACQUISITION FOR HIGHWAY BRIDGES,C,2019,"740,355",0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 0167,EAST 169TH STREET OVER METRO NORTH RAILROAD,C,2019,"5,000,000",0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 0215,"IMPROVEMENTS TO HIGHWAY BRIDGES & STRUCTURES, CITYWIDE.",C,2019,0,"109,426,509","220,929,000","360,872,000"
20180201,HB,HIGHWAY BRIDGES,HB 0278,"BQE (278-I) FROM SANDS STREET TO ATLANTIC AVENUE, BROOKLYN",C,2019,0,"738,887,000","404,370,000","404,370,000"
20180201,HB,HIGHWAY BRIDGES,HB 0431,"REHABILITATION OF BRIDGE AT 49TH AVENUE, QUEENS",C,2019,0,"60,700,999",0,0
20180201,HB,HIGHWAY BRIDGES,HB 0530,"RECONST & STRUCT REHAB R.R. BDGE PARKSIDE & OCEAN AVE, BROOKLYN",C,2019,"2,461,999","50,550,000",0,0
20180201,HB,HIGHWAY BRIDGES,HB 0548,"RECONST & STRUCT REHAB BDGE AT 21ST AVE, BROOKLYN",C,2019,"5,301,000",0,"38,724,000","56,338,000"
20180201,HB,HIGHWAY BRIDGES,HB 0643,"RECONSTRUCTION OF BRIDGE, GERRITSEN INLET-BSHP BKLYN",C,2019,"759,576",0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1010,"RECONSTRUCTION OF EAST 180TH STREET BRIDGE AT PARK AVENUE, THE BRONX",C,2019,"20,000,000",0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1012,"DESIGN COST FOR BRIDGE FACILITIES, CITYWIDE",C,2019,0,"37,621,692","16,774,000","6,250,000"
20180201,HB,HIGHWAY BRIDGES,HB 1013,"PURCHASE OF EQUIPMENT FOR BRIDGES, CITYWIDE",C,2019,"1,348,789","355,000","997,000","1,017,000"
20180201,HO,HEALTH & HOSPITALS CORP.,HO 0214,"HOSPITALS, IMPROVEMENTS",C,2019,"163,494,481","272,149,000","81,726,000","35,000,000"
20180201,HB,HIGHWAY BRIDGES,HB 1014,"BRIDGE FACILITY RECONSTRUCTION AND REHABILITATION, CITYWIDE",C,2019,"3,515,391","399,000","198,000","414,000"
20180201,HB,HIGHWAY BRIDGES,HB 1023,"BRIDGE REHABILITATION, MILL BASIN BRIDGE,ETC., BROOKLYN",C,2019,"6,038,560",0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1028,"BRIDGE REHABILITATION, E. 14TH STREET, ETC., BROOKLYN",C,2019,0,0,"16,951,000",0
20180201,HB,HIGHWAY BRIDGES,HB 1070,"BRIDGE PAINTING, CITYWIDE",C,2019,"10,495,573","34,480,000","59,008,000","94,812,000"
20180201,HB,HIGHWAY BRIDGES,HB 1078,"RECONSTRUCTION OF HARLEM RIVER DRIVE RAMP, BIN 2-26724-0, MANHATTAN",C,2019,0,0,0,"379,574,000"
20180201,HB,HIGHWAY BRIDGES,HB 1086,"WESTCHESTER AVE/HUTCHINSON RIVER PKWY BRIDGE, BIN 2-07583-7, THE BRONX",C,2019,"6,743,953",0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1090,"RECON OF THE BELT/SHORE PARKWAY BRIDGE OVER NOSTRAND AVE, BROOKLYN",C,2019,0,0,0,"9,292,000"
20180201,HB,HIGHWAY BRIDGES,HB 1090,"RECON OF THE BELT/SHORE PARKWAY BRIDGE OVER NOSTRAND AVE, BROOKLYN",F,2019,0,0,0,"33,141,000"
20180201,HB,HIGHWAY BRIDGES,HB 1103,"RECON OF CONC. VILLAGE AVE BR OVER METRO-NORTH BR., THE BRONX",C,2019,0,"8,323,000",0,"35,776,000"
20180201,HB,HIGHWAY BRIDGES,HB 1114,"RECON OF TWO HEMPSTEAD AVE BRIDGES OVER CROSS ISLAND PKWY, QUEENS",C,2019,0,0,0,"8,495,000"
20180201,HB,HIGHWAY BRIDGES,HB 1115,"RECON OF UNION TURNPIKE BRIDGE OVER CROSS ISLAND PKWY, QUEENS",C,2019,0,0,0,"2,038,999"
20180201,HB,HIGHWAY BRIDGES,HB 1120,"RECONSTRUCTION OF 11TH AVE VIADUCT OVER LIRR WEST SIDE YARD, MANHATTA",C,2019,"34,266,627","23,159,000",0,0
20180201,HL,HEALTH,HL RN404,STATEN ISLAND UNIVERSITY HOSPITAL,C,2019,"1,052",0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1120,"RECONSTRUCTION OF 11TH AVE VIADUCT OVER LIRR WEST SIDE YARD, MANHATTA",F,2019,0,"76,576,000",0,0
20180201,HB,HIGHWAY BRIDGES,HB 1127,"RECON PELHAM PKWY BRIDGE OVER HUTCHINSON PKWY, THE BRONX",C,2019,0,"39,000","42,806,000",0
20180201,HB,HIGHWAY BRIDGES,HB 1131,"RECON UNIONPORT RD BRIDGE OVER WESTCHESTER CREEK, THE BRONX",C,2019,0,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1131,"RECON UNIONPORT RD BRIDGE OVER WESTCHESTER CREEK, THE BRONX",P,2019,"1,798,510",0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1137,"RECON ELLIOT AVE BRIDGE OVER QUEENS BLVD, QUEENS",C,2019,0,"1,475,000","500,000","21,131,000"
20180201,HB,HIGHWAY BRIDGES,HB 1139,"RECON EAST 183RD ST BR/METRO-NORTH RR, HAR, THE BRONX",C,2019,0,0,"20,239,000",0
20180201,HB,HIGHWAY BRIDGES,HB 1141,"RECON METROPOLITAN AVE BRIDGE OVER CONRAIL, QUEENS",C,2019,0,0,"56,463,000","3,274,000"
20180201,HB,HIGHWAY BRIDGES,HB 1147,"RECON BROADWAY BRIDGE OVER THE HARLEM RIVER, MANHATTAN",C,2019,0,"3,022,300",0,0
20180201,HB,HIGHWAY BRIDGES,HB 1148,"RECON SHORE ROAD/HUTCHINSON RIVER PKWY, THE BRONX",C,2019,0,"41,564,743","145,659,000",0
20180201,HB,HIGHWAY BRIDGES,HB 1148,"RECON SHORE ROAD/HUTCHINSON RIVER PKWY, THE BRONX",F,2019,0,0,"154,341,000",0
20180201,HB,HIGHWAY BRIDGES,HB 1164,"RECON CITY ISLAND ROAD OVER EASTCHESTER BAY, THE BRONX",C,2019,0,"241,209",0,0
20180201,HB,HIGHWAY BRIDGES,HB 1165,"RECON RIVERSIDE DRIVE/WEST 158TH ST, MANHATTAN",C,2019,0,0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1165,"RECON RIVERSIDE DRIVE/WEST 158TH ST, MANHATTAN",F,2019,"8,118,000",0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1165,"RECON RIVERSIDE DRIVE/WEST 158TH ST, MANHATTAN",S,2019,"10,000,000",0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1172,"RECON EAST 188TH ST BR OVER METRO NORTH RR, THE BRONX",C,2019,"300,000",0,"27,967,000",0
20180201,HB,HIGHWAY BRIDGES,HB 1173,"RECON BR OVER CROSS ISLAND PARKWAY AT 115TH AVENUE, QUEENS",C,2019,0,0,"22,101,000",0
20180201,HB,HIGHWAY BRIDGES,HB 1189,"RECONSTRUCT W 79TH ST/79TH ST BOAT BASIN 30TH ST BRANCH, MANHATTAN",C,2019,"19,782,630",0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1189,"RECONSTRUCT W 79TH ST/79TH ST BOAT BASIN 30TH ST BRANCH, MANHATTAN",F,2019,"29,369,000",0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 1205,"RECONSTRUCT 5TH AVENUE BRIDGE OVER LIRR AND SEA BEACH, BROOKLYN",C,2019,0,"34,475,088",0,0
20180201,HB,HIGHWAY BRIDGES,HB 1213,"RECONSTRUCT UNION STREET BRIDGE OVER GOWANUS CANAL, BROOKLYN",C,2019,0,0,"44,874,000",0
20180201,HB,HIGHWAY BRIDGES,HB 1221,RECONSTRUCTION OF E. 25TH ST PEDESTRIAN BRIDGE OVER FDR,C,2019,0,"1,473,000",0,"7,926,000"
20180201,HB,HIGHWAY BRIDGES,HB 2934,"RAMP TO NORTHBOUND HENRY HUDSON PARKWAY OVER AMTRAK, MANHATTAN",C,2019,"500,000","16,089,000","32,697,000",0
20180201,HB,HIGHWAY BRIDGES,HB 3038,"KANE STREET BRIDGE OVER 278-I (BQE), BROOKLYN",C,2019,0,0,"15,442,000",0
20180201,HB,HIGHWAY BRIDGES,HB 4146,"WEST TREMONT AVENUE BRIDGE OVER METRO NORTH RAIL ROAD, THE BRONX",C,2019,0,"47,836,000",0,0
20180201,HB,HIGHWAY BRIDGES,HB 4174,"EAST 175TH STREET BRIDGE OVER METRO NORTH RAIL ROAD, THE BRONX",C,2019,"33,440,000",0,0,0
20180201,HB,HIGHWAY BRIDGES,HB 4310,"BEVERLY ROAD OVER THE BMT SUBWAY IN BRIGHTON, BROOKLYN",C,2019,0,0,"41,952,000",0
20180201,HB,HIGHWAY BRIDGES,HB 4529,"WEST 155TH STREET PEDESTRIAN BRIDGE OVER AMTRAK, MANHATTAN",C,2019,0,"13,977,000",0,0
20180201,HB,HIGHWAY BRIDGES,HB 4939,CEDARVIEW AVENUE PEDESTRIAN BRIDGE OVER SIRT SOUTH SHORE,C,2019,0,"8,823,000",0,0
20180201,HB,HIGHWAY BRIDGES,HB 4982,"ARTHUR KILL ROAD BRIDGE OVER ARTHUR KILL STREAM, STATEN ISLAND",C,2019,0,0,"9,000,000",0
20180201,HB,HIGHWAY BRIDGES,HB 6622,678-I SOUTHBOUND TO BELT CROSS ISLAND PARKWAY ACCESS ROAD FROM 678-I,C,2019,"19,102,806","565,000",0,0
20180201,HB,HIGHWAY BRIDGES,HB 6672,"EAST 174TH STREET BRIDGE OVER THE SHERIDAN EXPRESSWAY, THE BRONX",C,2019,0,0,"126,270,000",0
20180201,HB,HIGHWAY BRIDGES,HB 7003,"EAST 156TH STREET BRIDGE OVER ACCESS TO HOUSING, THE BRONX",C,2019,0,0,0,"57,500,000"
20180201,HB,HIGHWAY BRIDGES,HB 7055,"167TH STREET PEDESTRIAN BRIDGE OVER LIRR, QUEENS",C,2019,0,0,"10,342,000",0
20180201,HD,HOUSING & DEVELOPMENT,HD 0001,AFFORDABLE NEIGHBORHOOD COOPERATIVE PROGRAM,C,2019,"20,712,773","59,366,000","42,503,000","36,172,000"
20180201,HL,HEALTH,HL QN305,NEW YORK AND PRESBYTERIAN HOSPITAL,C,2019,195,0,0,0
20180201,HD,HOUSING & DEVELOPMENT,HD 0004,PRESERVATION OF VERY LOW-INCOME AND EXTREMELY LOW-INCOME HOUSING,C,2019,"109,287,000","111,472,000","113,700,000","115,974,000"
20180201,HD,HOUSING & DEVELOPMENT,HD 0005,MULTIFAMILY PRESERVATION LOAN PROGRAM,C,2019,0,"15,306,391","19,919,000","13,747,000"
20180201,HD,HOUSING & DEVELOPMENT,HD 0009,ARTICLE 7A FOR ANTI-ABANDONMENT,C,2019,"833,426","5,737,000","6,117,000","5,412,000"
20180201,HD,HOUSING & DEVELOPMENT,HD 0010,LOW INCOME HOUSING TAX CREDIT (LIHTC) PROJECTS,C,2019,"48,288,236","113,532,000","112,150,000","104,104,000"
20180201,HD,HOUSING & DEVELOPMENT,HD 0051,"SMALL HOMES DEVELOPMENT, SCATTER SITE",C,2019,"7,302,450","15,453,000","14,764,000","14,146,000"
20180201,HD,HOUSING & DEVELOPMENT,HD 0090,COMPUTER PURCHASES AND UPGRADE,C,2019,0,"5,805,160","15,645,000","10,146,000"
20180201,HD,HOUSING & DEVELOPMENT,HD 0094,RECONSTRUCTION OF H.P.D. OFFICE SPACE,C,2019,0,0,0,0
20180201,HD,HOUSING & DEVELOPMENT,HD 0107,ARTICLE 8A LOAN PROGRAM,C,2019,0,"24,542,604","44,261,000","40,662,000"
20180201,HD,HOUSING & DEVELOPMENT,HD 0109,SUPPORTIVE HOUSING REHAB,C,2019,"6,688,002","7,051,000","2,051,000",0
20180201,HD,HOUSING & DEVELOPMENT,HD 0110,"PARTICIPATION LOAN PROGRAM (PLP), REHAB",C,2019,"71,945,829","104,668,000","121,764,000","118,451,000"
20180201,HD,HOUSING & DEVELOPMENT,HD 0153,"EDGEMERE, ASSOC. COSTS, QUEENS",C,2019,"858,925",0,0,0
20180201,HD,HOUSING & DEVELOPMENT,HD 0157,ASSOCIATED COSTS - OTHER SITES,C,2019,0,0,0,"4,608,631"
20180201,HD,HOUSING & DEVELOPMENT,HD 0161,"SPRING CREEK, ASSOC. COSTS, BROOKLYN",C,2019,0,0,0,0
20180201,HD,HOUSING & DEVELOPMENT,HD 0200,"THIRD PARTY TRANSFER PROGRAMS, LL #37, CITYWIDE",C,2019,0,"5,345,018","47,132,000","44,677,000"
20180201,HD,HOUSING & DEVELOPMENT,HD 0201,"ASSISTED LIVING AND SENIOR HOUSING, CITYWIDE",C,2019,"126,857,064","73,489,000","59,224,000","50,774,000"
20180201,HD,HOUSING & DEVELOPMENT,HD 0207,"HUD MULTI-FAMILY PROGRAM, CITYWIDE",C,2019,"39,151,636","36,788,000","34,743,000","32,019,000"
20180201,HD,HOUSING & DEVELOPMENT,HD 0212,LOW INCOME RENTAL PROGRAM,C,2019,"14,700,197","195,100,000","183,320,000","163,374,000"
20180201,HD,HOUSING & DEVELOPMENT,HD 0213,MIXED INCOME RENTAL - LOW,C,2019,0,0,"66,022,729","86,778,000"
20180201,HD,HOUSING & DEVELOPMENT,HD 0215,MULTIFAMILY HOMEOWNERSHIP PROGRAM,C,2019,0,0,0,0
20180201,HD,HOUSING & DEVELOPMENT,HD 0217,NEIGHBORHOOD HOUSING SERVICES LOAN PROGRAM (NHS),C,2019,"34,000","666,000",0,0
20180201,HD,HOUSING & DEVELOPMENT,HD 0219,NEW CONSTRUCTION OF VERY LOW-INCOME AND EXTREMELY LOW-INCOME HOUSING,C,2019,"98,357,000","100,324,000","102,331,000","104,378,000"
20180201,HD,HOUSING & DEVELOPMENT,HD 0222,SUPPORTIVE HOUSING,C,2019,"57,475,679","143,487,000","141,687,000","117,000,000"
